XAFS
Energy/eV	Time/s	I0	I1
8102.097511	1.0	9119910	3191317
8109.303474	1.0	9107590	3197818
8124.115944	1.0	9147295	3234160
8135.827065	1.0	9170098	3259480
8147.209167	1.0	9187720	3283377
8158.641815	1.0	9207077	3306513
8170.055389	1.0	9208792	3324752
8181.496620	1.0	9239075	3351925
8192.986488	1.0	9246431	3371384
8204.534531	1.0	9257444	3390957
8216.086388	1.0	9289216	3419169
8227.627754	1.0	9292284	3434540
8239.281654	1.0	9325703	3462521
8250.925064	1.0	9346036	3484624
8262.609482	1.0	9350807	3501140
8274.332047	1.0	9354147	3516179
8286.085129	1.0	9357811	3528174
8297.868729	1.0	9365663	3536485
8309.690475	1.0	9362684	3527890
8320.024490	1.0	9369561	3477846
8320.825577	1.0	9370979	3467907
8321.605682	1.0	9370748	3456353
8322.412491	1.0	9366315	3439963
8323.232651	1.0	9368732	3422097
8324.011803	1.0	9369828	3399087
8324.830055	1.0	9369330	3366187
8325.618744	1.0	9368479	3321032
8326.443672	1.0	9369594	3245712
8327.233315	1.0	9367327	3107676
8328.020096	1.0	9356731	2805596
8328.836441	1.0	9348281	2308956
8329.629898	1.0	9342076	1866066
8330.412865	1.0	9339054	1557140
8330.921173	1.0	9325596	1417141
8331.417084	1.0	9331339	1323275
8331.906319	1.0	9331162	1257253
8332.424164	1.0	9328355	1207944
8332.921982	1.0	9321912	1172246
8333.415985	1.0	9322399	1141347
8333.906174	1.0	9319208	1104470
8334.431648	1.0	9318940	1054027
8334.931374	1.0	9322626	998549
8335.423470	1.0	9315350	942032
8335.910797	1.0	9313055	893193
8336.410522	1.0	9313592	852319
8336.907387	1.0	9311412	815584
8337.424278	1.0	9323552	777799
8337.924957	1.0	9323142	737723
8338.418961	1.0	9313405	692587
8338.905334	1.0	9325557	644418
8339.429855	1.0	9324136	588599
8339.930534	1.0	9320320	534702
8340.435028	1.0	9322048	482033
8340.915680	1.0	9318277	432632
8341.411591	1.0	9315533	386370
8341.936111	1.0	9316541	342187
8342.434883	1.0	9313065	304589
8342.936516	1.0	9309636	272288
8343.430519	1.0	9310139	245993
8343.920708	1.0	9307408	225729
8344.449043	1.0	9298806	210681
8344.948769	1.0	9291627	201845
8345.447540	1.0	9286960	197011
8345.943451	1.0	9274034	194889
8346.441269	1.0	9266555	195093
8346.934319	1.0	9251166	196794
8347.455025	1.0	9227763	199638
8347.959518	1.0	9175740	202455
8348.455429	1.0	8969372	201854
8348.946571	1.0	8438041	193050
8349.446297	1.0	8567579	198531
8349.943161	1.0	8850312	205910
8350.462914	1.0	9214416	212841
8350.964546	1.0	9256768	209621
8351.464272	1.0	9264576	203361
8351.962090	1.0	9273355	195728
8352.457047	1.0	9282400	187781
8352.989197	1.0	9284396	180152
8353.486061	1.0	9282823	174733
8353.978157	1.0	9284529	171670
8354.478836	1.0	9283032	170823
8354.977608	1.0	9283233	172040
8355.467796	1.0	9282335	174586
8355.994225	1.0	9279611	178279
8356.497765	1.0	9280163	181951
8356.935501	1.0	9284928	185120
8357.694626	1.0	9277383	189644
8358.490944	1.0	9278099	193888
8359.295845	1.0	9271736	198738
8360.104561	1.0	9275001	205390
8360.902786	1.0	9275439	212917
8361.702919	1.0	9283798	219883
8362.498283	1.0	9280770	224745
8363.304138	1.0	9285923	227947
8364.068031	1.0	9294586	230085
8364.896774	1.0	9294896	231794
8365.692139	1.0	9300155	232930
8366.497040	1.0	9300971	232963
8367.260933	1.0	9298249	231541
8368.068695	1.0	9297502	228578
8368.861198	1.0	9294530	223911
8369.669914	1.0	9295766	218051
8370.468140	1.0	9290893	211135
8371.272087	1.0	9287825	203784
8372.072220	1.0	9280557	196106
8372.870445	1.0	9284453	188522
8373.668671	1.0	9288202	180883
8374.470711	1.0	9289341	173362
8375.278473	1.0	9287685	166225
8376.082420	1.0	9292483	160090
8376.884460	1.0	9290585	155189
8377.684593	1.0	9293876	151968
8378.497124	1.0	9294450	150481
8379.269600	1.0	9296173	150747
8380.069733	1.0	9295652	152521
8380.863190	1.0	9295222	155730
8381.701469	1.0	9288471	160426
8382.473946	1.0	9287320	166139
8383.313179	1.0	9278263	173361
8389.340401	1.0	9126743	219870
8395.425797	1.0	9309062	233412
8401.457787	1.0	9292818	237835
8407.525063	1.0	9303047	222640
8413.610458	1.0	9287904	202255
8419.646263	1.0	9300499	180532
8425.737381	1.0	9296791	156037
8431.840897	1.0	9316400	159640
8437.951088	1.0	9297695	189087
8444.078445	1.0	9292918	217022
8450.204849	1.0	9240261	249785
8456.346512	1.0	8168512	241975
8462.459564	1.0	9258698	254933
8468.610764	1.0	9254305	226804
8474.773407	1.0	9250077	224337
8480.952263	1.0	9235476	221688
8487.128258	1.0	9250799	181472
8493.309021	1.0	9253185	162409
8499.525070	1.0	9264794	164296
8505.725861	1.0	9250329	188827
8511.935234	1.0	9267052	241722
8518.165588	1.0	9265212	300309
8524.399757	1.0	9279782	302366
8530.638695	1.0	9256258	262491
8536.899567	1.0	9246087	235620
8543.153763	1.0	9240294	231697
8549.439430	1.0	9230483	237858
8555.718422	1.0	9220268	248536
8562.012672	1.0	9230154	252104
8568.332672	1.0	9201493	227501
8575.871468	1.0	9195790	208995
8588.549614	1.0	9133885	225688
8601.246834	1.0	9091955	279394
8613.935471	1.0	8939209	280611
8626.738548	1.0	9141664	287444
8639.544487	1.0	9143242	274830
8652.387619	1.0	9118228	267432
8665.258408	1.0	9083042	257451
8678.178787	1.0	9039621	270714
8691.177368	1.0	9035374	292572
8704.170227	1.0	9016397	296648
8717.209816	1.0	8992797	315542
8730.292320	1.0	8955414	315472
8743.413925	1.0	8926663	311281
8756.621361	1.0	8964806	308712
8769.806862	1.0	8970345	307181
8783.070564	1.0	8926614	313644
8796.348572	1.0	8986163	332046
8809.691429	1.0	8937934	334778
8823.057175	1.0	8898752	339866
8836.462021	1.0	8837781	348592
8849.876404	1.0	8778777	353612
8863.350868	1.0	8747759	355350
