# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000    6.139637E-02  7.023621E-02  1.063665E+00
     0.0500    6.216815E-02  7.087921E-02  1.069791E+00
     0.1000    6.293852E-02  7.151864E-02  1.075925E+00
     0.1500    6.524583E-02  7.341269E-02  1.094620E+00
     0.2000    6.753507E-02  7.527426E-02  1.113358E+00
     0.2500    7.131473E-02  7.829125E-02  1.145436E+00
     0.3000    7.501615E-02  8.121652E-02  1.177514E+00
     0.3500    8.005714E-02  8.513390E-02  1.223708E+00
     0.4000    8.487075E-02  8.886886E-02  1.269697E+00
     0.4500    9.068434E-02  9.337337E-02  1.330222E+00
     0.5000    9.598742E-02  9.757436E-02  1.390196E+00
     0.5500    1.016985E-01  1.022743E-01  1.464630E+00
     0.6000    1.064677E-01  1.065246E-01  1.538111E+00
     0.6500    1.107147E-01  1.108810E-01  1.625577E+00
     0.7000    1.134969E-01  1.146337E-01  1.711744E+00
     0.7500    1.149540E-01  1.183516E-01  1.810990E+00
     0.8000    1.144574E-01  1.213088E-01  1.908491E+00
     0.8500    1.116562E-01  1.238309E-01  2.017947E+00
     0.9000    1.066756E-01  1.254703E-01  2.125216E+00
     0.9500    9.887531E-02  1.263876E-01  2.243214E+00
     1.0000    8.914882E-02  1.263549E-01  2.358404E+00
     1.0500    7.676550E-02  1.253792E-01  2.482669E+00
     1.1000    6.331190E-02  1.234575E-01  2.603122E+00
     1.1500    4.806242E-02  1.204355E-01  2.731088E+00
     1.2000    3.309938E-02  1.165625E-01  2.853669E+00
     1.2500    1.790635E-02  1.116291E-01  2.980487E+00
     1.3000    4.495540E-03  1.060484E-01  3.099189E+00
     1.3500   -7.619037E-03  9.957350E-02  3.218184E+00
     1.4000   -1.688480E-02  9.282114E-02  3.324518E+00
     1.4500   -2.391367E-02  8.561486E-02  3.424675E+00
     1.5000   -2.800991E-02  7.874959E-02  3.505238E+00
     1.5500   -3.008230E-02  7.221680E-02  3.571246E+00
     1.6000   -3.034841E-02  6.695784E-02  3.611997E+00
     1.6500   -3.001802E-02  6.309625E-02  3.637409E+00
     1.7000   -2.984125E-02  6.141650E-02  3.648966E+00
     1.7500   -3.104757E-02  6.169508E-02  3.668939E+00
     1.8000   -3.418498E-02  6.400257E-02  3.705058E+00
     1.8500   -3.995357E-02  6.750859E-02  3.774919E+00
     1.9000   -4.799722E-02  7.187928E-02  3.872772E+00
     1.9500   -5.793071E-02  7.620682E-02  4.005179E+00
     2.0000   -6.836680E-02  8.032295E-02  4.159763E+00
     2.0500   -7.789272E-02  8.341178E-02  4.346577E+00
     2.1000   -8.440714E-02  8.552851E-02  4.550279E+00
     2.1500   -8.638464E-02  8.651764E-02  4.767844E+00
     2.2000   -8.284128E-02  8.631622E-02  4.997104E+00
     2.2500   -7.113959E-02  8.318857E-02  5.257325E+00
     2.3000   -5.423372E-02  7.883673E-02  5.524560E+00
     2.3500   -3.420266E-02  7.350997E-02  5.799235E+00
     2.4000   -1.347392E-02  6.748726E-02  6.082183E+00
     2.4500    4.735016E-03  6.082339E-02  6.361113E+00
     2.5000    1.951361E-02  5.466495E-02  6.648205E+00
     2.5500    3.027320E-02  4.900023E-02  6.949149E+00
     2.6000    3.650150E-02  4.379691E-02  7.268464E+00
     2.6500    3.824208E-02  3.949951E-02  7.600982E+00
     2.7000    3.553669E-02  3.574506E-02  7.962010E+00
     2.7500    2.887593E-02  3.279571E-02  8.347906E+00
     2.8000    1.931181E-02  3.084219E-02  8.748174E+00
     2.8500    7.969461E-03  3.043504E-02  9.159838E+00
     2.9000   -4.421482E-03  3.128595E-02  9.566578E+00
     2.9500   -1.661745E-02  3.314917E-02  9.949870E+00
     3.0000   -2.737542E-02  3.562203E-02  1.030127E+01
     3.0500   -3.555613E-02  3.811439E-02  1.062710E+01
     3.1000   -4.080124E-02  4.088148E-02  1.093291E+01
     3.1500   -4.264051E-02  4.372597E-02  1.121886E+01
     3.2000   -4.097742E-02  4.645962E-02  1.148628E+01
     3.2500   -3.519398E-02  4.868554E-02  1.175840E+01
     3.3000   -2.628490E-02  5.061611E-02  1.202034E+01
     3.3500   -1.517038E-02  5.216334E-02  1.227128E+01
     3.4000   -2.977801E-03  5.327631E-02  1.251045E+01
     3.4500    1.019572E-02  5.385256E-02  1.275685E+01
     3.5000    2.250258E-02  5.396022E-02  1.299654E+01
     3.5500    3.286366E-02  5.357082E-02  1.322681E+01
     3.6000    4.060348E-02  5.275656E-02  1.344465E+01
     3.6500    4.603820E-02  5.163914E-02  1.366710E+01
     3.7000    4.858546E-02  5.025484E-02  1.387870E+01
     3.7500    4.861174E-02  4.869894E-02  1.407731E+01
     3.8000    4.675167E-02  4.711191E-02  1.426091E+01
     3.8500    4.317429E-02  4.527210E-02  1.444278E+01
     3.9000    3.891496E-02  4.370495E-02  1.460974E+01
