PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     7.000     2   2.6517
        2     0.00000    68.272     5.000     2   2.6517
        3     0.00000    24.341     4.000     2   3.7500
        4     0.00000    14.162     2.000     2   3.7500
        5     0.00000     4.388    14.000     3   3.9775
        6     0.00000     9.209    28.000     3   3.9775
        7     0.00000     3.881    18.000     3   4.5267
        8     0.00000    37.947    11.000     2   4.5928
        9     0.00000    55.087    13.000     2   4.5928
       10     0.00000     3.319    14.000     3   4.9480
       11     0.00000     7.806    28.000     3   4.9480
       12     0.00000     4.866    24.000     3   4.9480
       13     0.00000     6.420    32.000     3   4.9480
       14     0.00000    10.816    20.000     3   4.9480
       15     0.00000    14.061    20.000     3   4.9480
       16     0.00000    13.334     6.000     2   5.3033
       17     0.00000    16.974     6.000     2   5.3033
       18     0.00000     3.605     4.000     3   5.3033
       19     0.00000     5.023     6.000     3   5.3033
       21     0.00000    31.857    10.000     3   5.3033
       22     0.00000    14.451     4.000     3   5.3033
       23     0.00000    10.671     2.000     3   5.3033
       24     0.00000    49.148     8.000     3   5.3033
       25     0.00000     8.909     4.000     4   5.3033
       26     0.00000    10.462     6.000     4   5.3033
       27     0.00000     4.763     2.000     4   5.3033
       29     0.00000     3.573    28.000     4   5.3033
       30     0.00000    26.648     5.000     4   5.3033
       31     0.00000    11.289     2.000     4   5.3033
       32     0.00000     2.706     5.000     4   5.3033
       33     0.00000    13.316     1.000     4   5.3033
       34     0.00000    54.245     4.000     4   5.3033
       35     0.00000    17.053    11.000     2   5.9293
       36     0.00000    26.390    13.000     2   5.9293
       39     0.00000     3.900    10.000     3   6.1655
       40     0.00000     4.211    10.000     3   6.1655
       41     0.00000     2.995    18.000     3   6.1655
       42     0.00000     5.807    12.000     3   6.1655
       43     0.00000     3.084    16.000     4   6.2739
       44     0.00000     3.425     3.000     2   6.4952
       45     0.00000     7.654     5.000     2   6.4952
