 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
      1   100.000     7.000     2   2.6517
      2    68.272     5.000     2   2.6517
      3    24.341     4.000     2   3.7500
      4    14.162     2.000     2   3.7500
      5     4.388    14.000     3   3.9775
      6     9.209    28.000     3   3.9775
      7     3.881    18.000     3   4.5267
      8    37.947    11.000     2   4.5928
      9    55.087    13.000     2   4.5928
     10     3.319    14.000     3   4.9480
     11     7.806    28.000     3   4.9480
     12     4.866    24.000     3   4.9480
     13     6.420    32.000     3   4.9480
     14    10.816    20.000     3   4.9480
     15    14.061    20.000     3   4.9480
     16    13.334     6.000     2   5.3033
     17    16.974     6.000     2   5.3033
     18     3.605     4.000     3   5.3033
     19     5.023     6.000     3   5.3033
     20     2.495     2.000     3   5.3033 neglected
     21    31.857    10.000     3   5.3033
     22    14.451     4.000     3   5.3033
     23    10.671     2.000     3   5.3033
     24    49.148     8.000     3   5.3033
     25     8.909     4.000     4   5.3033
     26    10.462     6.000     4   5.3033
     27     4.763     2.000     4   5.3033
     28     2.086     7.000     4   5.3033 neglected
     29     3.573    28.000     4   5.3033
     30    26.648     5.000     4   5.3033
     31    11.289     2.000     4   5.3033
     32     2.706     5.000     4   5.3033
     33    13.316     1.000     4   5.3033
     34    54.245     4.000     4   5.3033
     35    17.053    11.000     2   5.9293
     36    26.390    13.000     2   5.9293
     37     2.229    20.000     3   6.1655 neglected
     38     2.036    16.000     3   6.1655 neglected
     39     3.900    10.000     3   6.1655
     40     4.211    10.000     3   6.1655
     41     2.995    18.000     3   6.1655
     42     5.807    12.000     3   6.1655
     43     3.084    16.000     4   6.2739
     44     3.425     3.000     2   6.4952
     45     7.654     5.000     2   6.4952
   41 paths kept,   45 examined.
 Done with module 5: F_eff.
