# Structure from AMSCIFDB, AMS_ID: 1523590     Feff8L (EXAFS)       0.1      
# Mineral Name: <missing>
# Journal:   Zeitschrift f\"ur Elektrochemie und angewandte physikalische Chemie
# Authors: Esch, U., Schneider, A.
# Title1:   Das System Nickel-Platin
# Formula:    Ni0.5Pt0.5
# SpaceGroup: Fm-3m
# # sites:    1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.402 Rnm= 1.437 L3 shell
# Pot 1 Z=28 Rmt= 1.410 Rnm= 1.447
# Pot 2 Z=78 Rmt= 1.420 Rnm= 1.459
# Gam_ch=5.171E+00 H-L exch
# Mu=-4.554E+00 kf=2.071E+00 Vint=-2.089E+01 Rs_int= 1.751
# PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      7.00     2   2.6517
#           2       0.00000     68.27      5.00     2   2.6517
#           3       0.00000     24.34      4.00     2   3.7500
#           4       0.00000     14.16      2.00     2   3.7500
#           5       0.00000      4.39     14.00     3   3.9775
#           6       0.00000      9.21     28.00     3   3.9775
#           8       0.00000     37.95     11.00     2   4.5928
#           9       0.00000     55.09     13.00     2   4.5928
#          11       0.00000      7.81     28.00     3   4.9480
#          12       0.00000      4.87     24.00     3   4.9480
#          13       0.00000      6.42     32.00     3   4.9480
#          14       0.00000     10.82     20.00     3   4.9480
#          15       0.00000     14.06     20.00     3   4.9480
#          16       0.00000     13.33      6.00     2   5.3033
#          17       0.00000     16.97      6.00     2   5.3033
#          19       0.00000      5.02      6.00     3   5.3033
#          21       0.00000     31.86     10.00     3   5.3033
#          22       0.00000     14.45      4.00     3   5.3033
#          23       0.00000     10.67      2.00     3   5.3033
#          24       0.00000     49.15      8.00     3   5.3033
#          25       0.00000      8.91      4.00     4   5.3033
#          26       0.00000     10.46      6.00     4   5.3033
#          27       0.00000      4.76      2.00     4   5.3033
#          30       0.00000     26.65      5.00     4   5.3033
#          31       0.00000     11.29      2.00     4   5.3033
#          33       0.00000     13.32      1.00     4   5.3033
#          34       0.00000     54.25      4.00     4   5.3033
#          35       0.00000     17.05     11.00     2   5.9293
#          36       0.00000     26.39     13.00     2   5.9293
#          40       0.00000      4.21     10.00     3   6.1655
#          42       0.00000      5.81     12.00     3   6.1655
#          45       0.00000      7.65      5.00     2   6.4952
#    32/  41 paths used
#  xsedge+50, used to normalize mu           3.9077E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   11565.422     -4.554   0.000  7.50083E-01  6.57180E-01  6.13964E-02
   11565.431     -4.544   0.050  7.54384E-01  6.60446E-01  6.21682E-02
   11565.460     -4.516   0.100  7.58681E-01  6.63713E-01  6.29385E-02
   11565.507     -4.468   0.150  7.71309E-01  6.73267E-01  6.52458E-02
   11565.574     -4.401   0.200  7.83881E-01  6.82822E-01  6.75351E-02
   11565.660     -4.316   0.250  8.04340E-01  6.98340E-01  7.13147E-02
   11565.765     -4.211   0.300  8.24606E-01  7.13859E-01  7.50161E-02
   11565.888     -4.087   0.350  8.51732E-01  7.34608E-01  8.00571E-02
   11566.031     -3.944   0.400  8.78395E-01  7.55357E-01  8.48708E-02
   11566.193     -3.782   0.450  9.09865E-01  7.79844E-01  9.06843E-02
   11566.374     -3.601   0.500  9.40427E-01  8.04330E-01  9.59874E-02
   11566.574     -3.401   0.550  9.72620E-01  8.30238E-01  1.01698E-01
   11566.793     -3.182   0.600  1.00331E+00  8.56146E-01  1.06468E-01
   11567.031     -2.944   0.650  1.03168E+00  8.80755E-01  1.10715E-01
   11567.289     -2.687   0.700  1.05793E+00  9.05365E-01  1.13497E-01
   11567.565     -2.411   0.750  1.07862E+00  9.26333E-01  1.14954E-01
   11567.860     -2.115   0.800  1.09670E+00  9.47301E-01  1.14457E-01
   11568.174     -1.801   0.850  1.10687E+00  9.63297E-01  1.11656E-01
   11568.508     -1.468   0.900  1.11439E+00  9.79294E-01  1.06676E-01
   11568.860     -1.115   0.950  1.11345E+00  9.90096E-01  9.88753E-02
   11569.232     -0.744   1.000  1.11044E+00  1.00090E+00  8.91488E-02
   11569.622     -0.353   1.050  1.10003E+00  1.00707E+00  7.67655E-02
   11570.032      0.056   1.100  1.08878E+00  1.01324E+00  6.33119E-02
   11570.460      0.485   1.150  1.07225E+00  1.01571E+00  4.80624E-02
   11570.908      0.933   1.200  1.05657E+00  1.01818E+00  3.30994E-02
   11571.375      1.399   1.250  1.03844E+00  1.01794E+00  1.79063E-02
   11571.861      1.885   1.300  1.02278E+00  1.01770E+00  4.49554E-03
   11572.365      2.390   1.350  1.00716E+00  1.01566E+00 -7.61904E-03
   11572.889      2.914   1.400  9.94997E-01  1.01361E+00 -1.68848E-02
   11573.432      3.457   1.450  9.84410E-01  1.01049E+00 -2.39137E-02
   11573.994      4.019   1.500  9.77154E-01  1.00736E+00 -2.80099E-02
   11574.575      4.600   1.550  9.71593E-01  1.00373E+00 -3.00823E-02
   11575.175      5.200   1.600  9.67987E-01  1.00009E+00 -3.03484E-02
   11575.794      5.819   1.650  9.64862E-01  9.96347E-01 -3.00180E-02
