PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5562
        2     0.00000    22.990     6.000     2   3.6150
        3     0.00000    12.308    48.000     3   3.8342
        4     0.00000     9.392    48.000     3   4.3636
        5     0.00000    55.796    24.000     2   4.4274
        6     0.00000    11.751    48.000     3   4.7699
        7     0.00000    25.390    96.000     3   4.7699
        8     0.00000    19.156    12.000     2   5.1123
        9     0.00000     9.608    12.000     3   5.1123
       10     0.00000    44.492    24.000     3   5.1123
       11     0.00000     9.657    12.000     4   5.1123
       12     0.00000     4.445    12.000     4   5.1123
       14     0.00000    32.277    12.000     4   5.1123
       15     0.00000     2.750    48.000     4   5.1123
       16     0.00000     4.621    48.000     3   5.2993
       17     0.00000    28.260    24.000     2   5.7158
       18     0.00000     9.809    48.000     3   5.9434
       19     0.00000     7.760    48.000     3   5.9434
       20     0.00000     8.455    48.000     3   5.9434
       21     0.00000     5.691    96.000     3   6.0479
       22     0.00000     5.733    96.000     3   6.0479
       23     0.00000     5.743    96.000     4   6.0479
       24     0.00000     6.140    96.000     4   6.0479
       27     0.00000     7.285     8.000     2   6.2613
       28     0.00000     6.890    96.000     3   6.3497
       29     0.00000     4.558    48.000     3   6.6224
       30     0.00000     4.138    48.000     3   6.6224
       31     0.00000     4.236    48.000     3   6.6224
       32     0.00000    34.963    48.000     2   6.7630
       33     0.00000    18.775    96.000     3   6.8733
       34     0.00000    14.969    96.000     3   6.8733
       35     0.00000    13.787    96.000     3   6.8733
       36     0.00000     4.246    96.000     4   6.9836
       37     0.00000     4.416    96.000     4   6.9836
       40     0.00000     5.797    96.000     4   6.9836
       43     0.00000     5.022    96.000     4   6.9836
