PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000     2.000     2   1.9472
        2     0.00000    99.945     2.000     2   1.9477
        3     0.00000    44.174     2.000     2   2.7663
        4     0.00000    85.013     4.000     2   2.8844
        5     0.00000    73.660     4.000     2   3.0708
        6     0.00000    34.483     2.000     2   3.1588
        7     0.00000     9.315     4.000     3   3.2562
        8     0.00000     7.494     4.000     3   3.3897
        9     0.00000     6.461     4.000     3   3.3897
       10     0.00000     6.461     4.000     3   3.3897
       11     0.00000    26.364     2.000     2   3.4002
       12     0.00000    28.748     2.000     2   3.4100
       13     0.00000     9.138     4.000     3   3.4829
       14     0.00000     9.138     4.000     3   3.4829
       15     0.00000    10.680     4.000     3   3.5267
       16     0.00000    23.440     2.000     2   3.5583
       17     0.00000    23.124     2.000     2   3.7273
       18     0.00000    24.284     4.000     3   3.8114
       19     0.00000    18.955     2.000     2   3.8577
       20     0.00000    15.715     2.000     3   3.8945
       21     0.00000     7.779     2.000     4   3.8945
       22     0.00000     5.671     2.000     4   3.8945
       26     0.00000    15.701     2.000     3   3.8954
       27     0.00000     7.770     2.000     4   3.8954
       28     0.00000     5.666     2.000     4   3.8954
       29     0.00000     8.874     2.000     4   3.8954
       30     0.00000     3.866     4.000     3   4.0345
       31     0.00000     3.707     4.000     3   4.0618
       32     0.00000     3.118     4.000     3   4.0618
       33     0.00000    16.412     2.000     2   4.0711
       34     0.00000     4.817     4.000     3   4.1159
       35     0.00000     4.780     4.000     3   4.1950
       36     0.00000     7.661     4.000     3   4.2112
       37     0.00000     4.162     4.000     3   4.2657
       38     0.00000    13.836     2.000     2   4.3353
       39     0.00000    13.358     2.000     2   4.3912
       40     0.00000    17.648     4.000     3   4.4502
       41     0.00000     2.928     4.000     3   4.4516
       42     0.00000     6.082     4.000     3   4.4516
       43     0.00000     5.136     4.000     3   4.4516
       44     0.00000    12.335     2.000     2   4.5199
       45     0.00000    12.331     2.000     2   4.5205
       46     0.00000     7.403     2.000     4   4.5652
       48     0.00000    26.254     4.000     2   4.6483
       49     0.00000    13.091     2.000     2   4.6530
       50     0.00000     6.043     4.000     3   4.6757
       51     0.00000    12.408     4.000     3   4.6757
       52     0.00000     6.271     4.000     3   4.6757
       53     0.00000     6.042     4.000     3   4.6763
       54     0.00000    12.408     4.000     3   4.6763
       55     0.00000     6.270     4.000     3   4.6763
       56     0.00000     2.996     4.000     3   4.6769
       57     0.00000     4.537     4.000     3   4.6769
       58     0.00000    23.581     4.000     3   4.6809
       59     0.00000    22.004     4.000     3   4.6809
       60     0.00000    11.269     2.000     4   4.7135
       61     0.00000    10.100     2.000     4   4.7135
       62     0.00000    10.683     2.000     2   4.7592
       63     0.00000    10.680     2.000     2   4.7598
       64     0.00000    10.337     2.000     2   4.8153
       65     0.00000     4.671     2.000     4   4.8316
       66     0.00000     4.671     2.000     4   4.8321
       67     0.00000     3.473     4.000     4   4.8316
       68     0.00000     3.474     4.000     4   4.8321
       69     0.00000     9.995     2.000     2   4.8732
       70     0.00000     3.686     4.000     3   4.8744
       71     0.00000     5.918     4.000     3   4.8886
       72     0.00000     6.238     4.000     3   4.8886
       73     0.00000     5.917     4.000     3   4.8892
       74     0.00000     6.238     4.000     3   4.8892
       75     0.00000     5.858     4.000     3   4.9896
       76     0.00000     6.323     4.000     3   4.9896
       78     0.00000     4.572     4.000     3   5.0394
       79     0.00000    21.015     4.000     2   5.0518
       80     0.00000     5.452     4.000     3   5.0715
       81     0.00000     2.986     4.000     3   5.0795
       82     0.00000     3.197     4.000     3   5.0863
       83     0.00000     5.973     4.000     3   5.0863
       84     0.00000     3.721     4.000     3   5.0863
       85     0.00000    10.198     2.000     2   5.1080
       86     0.00000     6.357     4.000     3   5.1999
       87     0.00000     5.584     4.000     3   5.1999
       88     0.00000    19.307     4.000     2   5.2121
       89     0.00000     4.643     4.000     3   5.2320
       90     0.00000     8.063     2.000     2   5.2544
       91     0.00000     2.822     4.000     3   5.2624
       92     0.00000    15.894     4.000     3   5.2786
       95     0.00000     8.110     2.000     4   5.3028
       96     0.00000     7.841     2.000     2   5.3057
       99     0.00000     2.778     4.000     3   5.3575
      101     0.00000     5.934     4.000     3   5.3588
