PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.5565
        2     0.00000    22.990     6.000     2   3.6154
        3     0.00000    12.306    48.000     3   3.8347
        4     0.00000     9.387    48.000     3   4.3641
        5     0.00000    55.793    24.000     2   4.4279
        6     0.00000    11.750    48.000     3   4.7704
        7     0.00000    25.375    96.000     3   4.7704
        8     0.00000    19.154    12.000     2   5.1129
        9     0.00000     9.608    12.000     3   5.1129
       10     0.00000    44.482    24.000     3   5.1129
       11     0.00000     9.655    12.000     4   5.1129
       12     0.00000     4.444    12.000     4   5.1129
       14     0.00000    32.269    12.000     4   5.1129
       15     0.00000     2.750    48.000     4   5.1129
       16     0.00000     4.618    48.000     3   5.2999
       17     0.00000    28.258    24.000     2   5.7164
       18     0.00000     9.808    48.000     3   5.9441
       19     0.00000     7.756    48.000     3   5.9441
       20     0.00000     8.449    48.000     3   5.9441
       21     0.00000     5.688    96.000     3   6.0486
       22     0.00000     5.730    96.000     3   6.0486
       23     0.00000     5.740    96.000     4   6.0486
       24     0.00000     6.136    96.000     4   6.0486
       27     0.00000     7.284     8.000     2   6.2620
       28     0.00000     6.886    96.000     3   6.3504
       29     0.00000     4.557    48.000     3   6.6232
       30     0.00000     4.136    48.000     3   6.6232
       31     0.00000     4.233    48.000     3   6.6232
       32     0.00000    34.960    48.000     2   6.7638
       33     0.00000    18.773    96.000     3   6.8741
       34     0.00000    14.959    96.000     3   6.8741
       35     0.00000    13.778    96.000     3   6.8741
       36     0.00000     4.247    96.000     4   6.9844
       37     0.00000     4.412    96.000     4   6.9844
       40     0.00000     5.796    96.000     4   6.9844
       43     0.00000     5.017    96.000     4   6.9844
       44     0.00000     5.439    96.000     3   7.2166
       45     0.00000     5.274    96.000     3   7.2166
       46     0.00000     5.023    96.000     3   7.2166
       47     0.00000     4.311    96.000     4   7.2166
       48     0.00000     3.634    96.000     4   7.2166
       49     0.00000     3.801    96.000     4   7.2166
       50     0.00000     3.585     6.000     2   7.2308
       51     0.00000     6.446    12.000     3   7.2308
       52     0.00000     3.629     6.000     4   7.2308
       54     0.00000    18.004    36.000     2   7.6694
       55     0.00000     4.628    24.000     3   7.6694
       56     0.00000    11.584    24.000     3   7.6694
       57     0.00000    10.993    24.000     3   7.6694
       58     0.00000     7.105    24.000     6   7.6694
       59     0.00000     3.658    24.000     4   7.6694
       60     0.00000     3.644    24.000     4   7.6694
       61     0.00000     4.749    24.000     4   7.6694
       62     0.00000    14.112    24.000     4   7.6694
       63     0.00000     6.903    12.000     4   7.6694
       64     0.00000    13.295    24.000     4   7.6694
       65     0.00000     6.424    12.000     4   7.6694
       66     0.00000     4.436    24.000     5   7.6694
       67     0.00000     4.952    24.000     5   7.6694
       68     0.00000     5.359    24.000     5   7.6694
       69     0.00000    18.630    24.000     5   7.6694
       70     0.00000    18.095    24.000     5   7.6694
       71     0.00000    13.175    12.000     6   7.6694
       72     0.00000     4.636    48.000     3   7.8563
       73     0.00000     2.998    48.000     3   7.8563
       74     0.00000     2.830    48.000     3   7.8563
       75     0.00000     6.168    96.000     3   7.9711
       76     0.00000     5.095    96.000     3   7.9711
       77     0.00000     5.351    96.000     3   7.9711
