PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
        1     0.00000   100.000    12.000     2   2.7888
        2     0.00000    25.034     6.000     2   3.9440
        3     0.00000    14.498    48.000     3   4.1832
        4     0.00000     5.751    48.000     3   4.7608
        5     0.00000    59.712    24.000     2   4.8304
        6     0.00000    10.263    48.000     3   5.2040
        7     0.00000    31.424    96.000     3   5.2040
        8     0.00000    19.854    12.000     2   5.5777
        9     0.00000     8.142    12.000     3   5.5777
       10     0.00000    85.466    24.000     3   5.5777
       11     0.00000    14.794    12.000     4   5.5777
       12     0.00000     3.420    12.000     4   5.5777
       13     0.00000     4.721    48.000     4   5.5777
       14     0.00000    96.038    12.000     4   5.5777
       15     0.00000     9.473    48.000     4   5.5777
       17     0.00000     2.995    48.000     3   5.7816
       18     0.00000    28.315    24.000     2   6.2360
       19     0.00000     4.481    48.000     3   6.4844
       20     0.00000     9.315    48.000     3   6.4844
       21     0.00000    11.103    48.000     3   6.4844
       22     0.00000     3.946    96.000     3   6.5984
       23     0.00000     8.747    96.000     4   6.5984
       24     0.00000     5.629    96.000     4   6.5984
       27     0.00000     7.067     8.000     2   6.8312
       28     0.00000     3.285    48.000     3   7.2252
       29     0.00000     3.329    48.000     4   7.3012
       30     0.00000    32.914    48.000     2   7.3785
       31     0.00000     8.923    96.000     3   7.4989
       32     0.00000    25.908    96.000     3   7.4989
       33     0.00000    25.325    96.000     3   7.4989
       34     0.00000     4.094    96.000     4   7.6192
       35     0.00000     7.563    48.000     4   7.6192
       37     0.00000     7.738    48.000     4   7.6192
       38     0.00000    14.307    96.000     4   7.6192
       39     0.00000     3.667    96.000     3   7.8725
       40     0.00000     3.450    96.000     4   7.8725
       41     0.00000     7.779    96.000     4   7.8725
       42     0.00000     5.230    96.000     4   7.8725
       43     0.00000    11.572    12.000     3   7.8880
       44     0.00000    10.684     6.000     4   7.8880
       46     0.00000     5.526    96.000     5   7.9929
       47     0.00000     3.200    96.000     5   7.9929
       48     0.00000     8.433    96.000     5   7.9929
